magnitude,score,overall
0.6,-0.1,2
6,-0.3,2
1,-0.5,2
3,-0.1,2
0.9,-0.9,2
2.8,-0.4,2
2.4,-0.2,2
3.3,-0.4,2
4.1,-0.1,2
1.8,-0.4,2
1,-0.5,2
17.2,-0.2,2
1.4,-0.1,2
7.4,-0.1,2
0.1,0.1,2
2.6,-0.3,2
7.5,-0.1,2
1.4,-0.3,2
2,-0.6,2
3.5,-0.4,2
2.1,-0.4,2
12.8,-0.1,2
2.2,0.1,2
7.2,-0.1,2
3.3,-0.1,2
2.5,-0.1,2
0.8,-0.2,2
0.8,0.1,2
5.3,0.1,2
0.2,-0.2,2
0.3,-0.3,2
5.8,-0.1,2
2,0.6,2
7.9,0,2
2.6,-0.5,2
4.6,-0.3,2
1.7,-0.5,2
6.5,0,2
4.1,-0.1,2
2.6,-0.2,2
1.4,-0.4,2
2.3,-0.5,2
2.5,-0.3,2
0.1,-0.1,2
2.5,0.3,2
0.5,-0.2,2
3.8,-0.3,2
2.4,0.2,2
6.6,-0.3,2
4.7,0,2
3.9,0.2,2
8.8,0,2
10.6,-0.2,2
2.4,-0.4,2
2.7,-0.2,2
2.8,0,2
1.3,-0.4,2
3.1,-0.6,2
3.3,-0.5,2
4,-0.4,2
2.2,0,2
3.8,-0.3,2
1.9,-0.1,2
2.9,0,2
2.6,-0.6,2
6.9,-0.5,2
6.3,-0.1,2
1.5,-0.2,2
3,-0.2,2
12.5,-0.1,2
11.7,-0.1,2
1.8,-0.4,2
11.5,-0.1,2
5.4,-0.3,2
2.8,-0.4,2
1.8,-0.4,2
1.7,-0.3,2
1.3,-0.4,2
2.9,-0.3,2
0.3,-0.1,2
2.8,-0.4,2
2.7,-0.9,2
1.3,-0.2,2
1.7,-0.1,2
7.8,0,2
0.7,-0.7,2
1.2,-0.6,2
2.6,-0.3,2
1.1,-0.2,2
3.1,-0.6,2
3.7,-0.7,2
2.9,-0.7,2
3.1,-0.4,2
1.1,-0.3,2
1.4,0,2
0.7,-0.7,2
9.5,0,2
8.6,-0.1,2
6.8,-0.3,2
2.1,0.1,2
2.6,-0.5,2
14.3,-0.1,2
3,-0.3,2
2.9,-0.1,2
3,-0.6,2
4.8,-0.2,2
1.5,-0.3,2
6.5,0,2
7.1,-0.1,2
3,-0.3,2
5,-0.3,2
1.9,0.2,2
4.5,-0.2,2
1.3,0,2
2.3,-0.3,2
2.8,-0.3,2
4.2,0,2
6.2,0,2
1.5,-0.5,2
12.7,-0.4,2
3.5,-0.8,2
1.5,-0.3,2
2.5,-0.6,2
1.7,0,2
5.3,0.1,2
1.9,-0.5,2
2.6,-0.3,2
6.1,-0.3,2
4.7,-0.4,2
7.6,-0.3,2
3.5,-0.1,2
1.3,-0.6,2
7.1,-0.3,2
2.7,-0.6,2
4.3,-0.2,2
1.8,-0.6,2
3.2,0,2
2,-0.6,2
6.7,0,2
1.5,-0.7,2
2.6,-0.5,2
13,-0.2,2
2.8,-0.1,2
2.9,0,2
0.9,-0.2,2
2.6,-0.6,2
2.3,-0.4,2
5.2,-0.2,2
2.4,-0.2,2
8.3,-0.2,2
9.6,0,2
5.9,0,2
5.9,0.1,2
13.6,0,2
10.9,0,2
13,0,2
11.1,-0.2,2
0.6,0.3,2
14.9,0,2
2.2,-0.2,2
2.3,-0.4,2
4.3,-0.2,2
1.1,-0.1,2
5.7,-0.1,2
1.5,0,2
2.5,-0.5,2
4.6,-0.3,2
2.2,0.1,2
4.3,-0.1,2
5,-0.2,2
6.4,-0.2,2
2.9,-0.5,2
2.8,-0.2,2
0.5,0,2
4.7,-0.2,2
7.6,-0.3,2
4,-0.3,2
7.1,0,2
0.6,-0.1,2
0.4,0,2
5.9,-0.1,2
3.6,0,2
1.6,0,2
7,-0.1,2
2.2,-0.5,2
2,0.2,2
0.7,-0.3,2
0.6,-0.2,2
0.2,-0.1,2
5.1,-0.1,2
1.9,-0.6,2
1.6,0.1,2
0.1,0.1,2
1.5,-0.7,2
2.9,-0.4,2
5.9,-0.2,2
2.9,-0.7,2
3,-0.1,2
2,0,2
1.5,0.3,2
1.4,0,2
3.2,-0.5,2
3.2,0,2
12.7,-0.1,2
3.3,-0.3,2
1.7,-0.1,2
0.5,-0.5,2
0.9,-0.3,2
4.9,0.1,2
5.1,0,2
1.7,-0.5,2
3.1,-0.6,2
3.6,0.2,2
7.1,-0.1,2
3.2,0.2,2
12.3,-0.2,2
2.5,-0.6,2
1.2,-0.4,2
1.8,-0.3,2
4.8,0,2
2.3,-0.2,2
2.7,-0.3,2
2.7,-0.1,2
2.9,0,2
6.9,-0.1,2
8.9,0,2
16.3,0,2
1.3,-0.4,2
1.4,0,2
14.6,-0.3,2
3.3,-0.1,2
33.9,-0.1,2
9.8,-0.1,2
28.5,-0.1,2
5,-0.1,2
15.5,0.1,2
5.7,0,2
0.9,-0.9,2
5,0,2
0.4,-0.2,2
3.2,-0.1,2
2.4,-0.2,2
1.6,0,2
11.9,-0.2,2
6,-0.3,2
9.3,0,2
4,-0.2,2
3.2,-0.1,2
4.2,0,2
20.5,0,2
7,-0.5,2
1.1,-0.1,2
3.4,-0.3,2
1.7,-0.1,2
3.7,-0.3,2
3,-0.4,2
4.4,-0.4,2
5.5,-0.2,2
1.3,-0.4,2
1.3,0,2
0.9,-0.4,2
0.8,-0.8,2
5.5,-0.5,2
34.7,-0.2,2
0.9,-0.4,2
1.8,-0.6,2
8.7,0,2
3.8,-0.2,2
1.9,0,2
5.5,-0.6,2
2.3,-0.5,2
2,0,2
3.7,-0.9,2
2.9,0,2
1.3,-0.4,2
0.8,-0.2,2
2.3,-0.2,2
3.4,-0.4,2
17.4,0,2
7.6,-0.3,2
3.6,-0.6,2
1.1,-0.5,2
2.7,-0.5,2
7.4,-0.3,2
3.2,-0.1,2
2.2,0,2
7.2,-0.3,2
3,0,2
4,-0.1,2
5,-0.1,2
3.2,0,2
4,0.1,2
4.5,0,2
0.7,0,2
1.3,-0.2,2
3.6,-0.4,2
0.6,-0.6,2
3.1,-0.3,2
5.3,-0.1,2
2,-0.6,2
0.4,-0.2,2
5.8,-0.2,2
1.9,0,2
0.9,-0.9,2
3,-0.5,2
2.4,-0.1,2
3,0.1,2
11,-0.2,2
4.5,-0.4,2
1.6,-0.1,2
5,-0.5,2
1.9,-0.2,2
1.1,0,2
4.2,-0.8,2
3.4,-0.1,2
1.7,0.2,2
3.3,-0.2,2
2.6,-0.6,2
2.6,-0.1,2
3,-0.1,2
1.2,-0.6,2
1.4,0.4,2
8.4,-0.5,2
4.6,-0.3,2
23.3,-0.3,2
9.2,-0.1,2
5,0,2
1.9,-0.3,2
2.4,-0.4,2
2.5,-0.5,2
1.5,-0.5,2
13.6,-0.4,2
2.2,-0.3,2
3.5,-0.5,2
4.1,-0.1,2
10.1,-0.4,2
8,-0.4,2
0.9,-0.9,2
3.8,-0.4,2
1.3,-0.1,2
6.8,-0.5,2
2.1,-0.2,2
4.9,-0.1,2
3.1,-0.6,2
1.5,-0.2,2
1.8,-0.1,2
4.6,-0.5,2
1.3,-0.1,2
1.5,-0.7,2
9.3,-0.2,2
2.7,-0.1,2
3.9,-0.2,2
5.8,-0.4,2
2.1,0,2
0.8,-0.4,2
1.3,-0.6,2
3,-0.3,2
7.6,-0.1,2
1.4,-0.3,2
13.1,-0.1,2
0.5,-0.2,2
4.2,0,2
3.8,0.3,2
0.8,-0.8,2
1.7,-0.8,2
4.9,-0.2,2
8.4,-0.3,2
3.6,-0.5,2
0.2,0,2
4.6,0.2,2
2.2,-0.2,2
1.6,-0.2,2
0.5,0,2
0.1,0,2
4.7,-0.4,2
3.5,-0.3,2
2.9,-0.4,2
4.9,0,2
0.7,0,2
1.3,-0.4,2
1.2,-0.3,2
0.7,-0.1,2
2.4,-0.4,2
16.2,0,2
4.6,-0.5,2
3.6,-0.6,2
1.7,-0.3,2
0.1,0.1,2
6.1,-0.7,2
3,-0.6,2
1.4,-0.2,2
8.8,-0.3,2
3.2,0,2
4.9,-0.3,2
13.3,0,2
0.3,0,2
1.3,-0.2,2
2.9,-0.2,2
0.8,-0.2,2
3.6,-0.4,2
11.5,0,2
3.8,0.3,2
2.2,0,2
5.8,0,2
7.7,-0.1,2
3.8,-0.4,2
5.3,-0.2,2
5.9,0,2
6.5,0.2,2
8,-0.1,2
17.6,-0.1,2
21.1,-0.1,2
12.3,-0.5,2
5.1,-0.1,2
1.9,-0.2,2
1,0.5,2
1.1,-0.5,2
3,-0.4,2
3.5,0.3,2
2.2,-0.3,2
15.4,-0.2,2
3,-0.1,2
6.5,0.1,2
1.5,-0.3,2
4.9,-0.6,2
3.4,-0.6,2
5.3,-0.2,2
3.6,-0.2,2
3.9,-0.5,2
2.8,-0.7,2
2.5,-0.2,2
4.6,-0.2,2
0.8,-0.4,2
3.4,-0.8,2
4.9,-0.2,2
3.4,-0.3,2
8.2,-0.2,2
4.5,0,2
0.8,-0.8,2
3.8,-0.6,2
1.1,-0.3,2
1.3,0.3,2
1.5,-0.5,2
2.8,-0.1,2
5.5,0,2
7,-0.2,2
5.8,-0.3,2
4.9,0,2
6.6,-0.1,2
3.9,-0.3,2
4.6,-0.3,2
10,-0.1,2
8.9,-0.1,2
3.1,-0.5,2
16.1,0,2
0.9,-0.3,2
0.8,-0.8,2
0.8,-0.2,2
1.3,-0.1,2
4.5,0.2,2
4.5,-0.4,2
3,-0.3,2
14.3,-0.5,2
1.9,-0.4,2
6.1,0.2,2
1.3,-0.3,2
4,-0.1,2
3.9,-0.3,2
1.8,-0.9,2
1.6,-0.2,2
1.5,-0.5,2
1.9,-0.3,2
4.1,-0.1,2
9.3,-0.3,2
1.9,-0.2,2
5,-0.3,2
0.8,0,2
5.8,-0.4,2
9.5,-0.3,2
2.2,-0.1,2
3.2,-0.3,2
6.5,-0.2,2
6.5,0.3,2
1.1,-0.3,2
1.4,-0.2,2
4.3,0,2
5.5,-0.1,2
2.1,-0.5,2
3,-0.5,2
2,-0.1,2
1.7,-0.8,2
5.9,0,2
6.1,0,2
5.3,-0.2,2
3.4,-0.3,2
4.5,-0.2,2
6.8,0.1,2
3.4,0,2
3.1,0.1,2
3.9,0,2
4.8,-0.4,2
36,0.1,2
1.2,-0.6,2
2.5,0,2
5.5,0,2
13.7,0.1,2
7.4,0.2,2
5,-0.3,2
2.8,-0.7,2
5.4,-0.4,2
4.1,0,2
0.9,-0.9,2
4.1,-0.2,2
9.9,-0.1,2
2.8,-0.7,2
2.9,-0.4,2
7.4,-0.1,2
3,-0.4,2
2.5,-0.4,2
4.2,0,2
3,-0.2,2
2.3,0.1,2
2.9,-0.7,2
0.9,-0.9,2
2.2,-0.3,2
0.8,-0.8,2
2.1,-0.3,2
4.4,-0.3,2
5.7,-0.4,2
2.2,-0.7,2
5.3,-0.5,2
4.2,-0.3,2
6.8,-0.3,2
3,-0.4,2
13.9,-0.3,2
1.2,-0.6,2
7.6,-0.1,2
6.9,0,2
0.7,-0.7,2
2,-0.6,2
4.1,-0.3,2
5,-0.1,2
2.3,0,2
5.5,-0.2,2
10.4,0,2
9.1,-0.3,2
3.1,-0.1,2
3.7,-0.1,2
9.7,0,2
4.7,-0.2,2
6.9,-0.3,2
5.8,-0.4,2
7.6,-0.1,2
2,0,2
3.9,-0.3,2
2.3,0,2
3.4,-0.3,2
9.9,-0.2,2
8.3,-0.1,2
2.9,-0.5,2
5.8,-0.1,2
2.5,-0.3,2
4.1,-0.4,2
2.7,-0.1,2
5.7,-0.2,2
6.9,-0.3,2
0.9,0.9,2
3.4,-0.3,2
10,0,2
2.3,-0.4,2
5.9,-0.6,2
0.9,-0.3,2
2.5,0,2
2.7,-0.2,2
1.9,0.3,2
19.7,-0.1,2
1.8,-0.2,2
1.5,0.1,2
3.1,0,2
3.3,0.2,2
2.7,-0.5,2
3.7,0,2
2.7,0,2
4.8,-0.4,2
9.3,-0.5,2
0.9,-0.2,2
1,-0.1,2
3.8,-0.5,2
3.9,-0.4,2
2.7,-0.3,2
1.9,-0.4,2
2.5,-0.8,2
3,-0.2,2
0,0,2
1.7,-0.5,2
1.1,-0.3,2
6,-0.4,2
1.2,-0.1,2
11.3,-0.1,2
4.5,-0.1,2
3.7,-0.2,2
2.3,-0.2,2
3.1,-0.2,2
1.1,-0.2,2
1.1,-0.3,2
0.9,-0.9,2
1.8,-0.6,2
1.8,0,2
0.9,0.2,2
6.6,-0.5,2
1,-0.1,2
3.3,0,2
3.2,0.2,2
5.2,-0.3,2
0.7,-0.7,2
3.7,-0.9,2
1.6,-0.5,2
1.4,-0.2,2
4.5,-0.4,2
2.4,-0.6,2
2.6,-0.4,2
0.9,0,2
1.4,-0.1,2
8.6,-0.2,2
1.9,-0.3,2
5,-0.4,2
1.8,-0.6,2
4.8,0.3,2
9.6,0,2
13.5,-0.1,2
1.5,0.5,2
0.8,0.2,2
1.8,-0.2,2
7,-0.3,2
3.6,0,2
3.7,-0.4,2
2.3,0,2
1.6,0.1,2
4.6,-0.3,2
0.6,0.1,2
2.8,-0.4,2
2.5,-0.1,2
7.8,0,2
4.1,-0.3,2
2.7,-0.6,2
12.3,-0.1,2
0.9,0,2
0.7,-0.3,2
3.2,-0.1,2
0.8,-0.8,2
17.1,-0.1,2
4.5,-0.1,2
7.9,-0.3,2
3.5,-0.8,2
9.1,0,2
10.4,-0.2,2
3.1,-0.2,2
3.6,-0.3,2
5.1,0,2
2.1,0.1,2
1.1,-0.3,2
4.5,-0.2,2
2.4,-0.4,2
2.1,-0.7,2
1,-0.1,2
3,-0.2,2
4.8,-0.3,2
2.6,-0.6,2
3.9,-0.5,2
1.3,-0.3,2
2.8,0.2,2
0.8,0.8,2
2.8,-0.3,2
1.3,0,2
6.1,0,2
0.9,-0.2,2
4.4,-0.3,2
3.7,-0.2,2
1,-0.2,2
1.9,-0.1,2
1.1,0,2
4.9,-0.2,2
4.9,-0.4,2
14.3,-0.1,2
1.8,-0.9,2
3.2,0.1,2
3.1,-0.3,2
2.4,0,2
3.9,-0.3,2
3.1,-0.3,2
2.4,0,2
0,0,2
2.6,-0.1,2
1.8,0,2
10.2,0,2
0.1,-0.1,2
3,-0.5,2
3,-0.4,2
3,-0.3,2
1.3,-0.4,2
3.2,-0.4,2
3.6,-0.2,2
1.1,-0.5,2
0.6,-0.3,2
1.8,0.4,2
4.4,-0.3,2
5.3,-0.6,2
2.4,-0.6,2
3.6,-0.3,2
1.5,0.4,2
8.7,-0.2,2
5.2,-0.5,2
2.8,-0.2,2
1.3,-0.4,2
2.6,0,2
1.5,-0.3,2
2.5,-0.6,2
2.3,-0.5,2
1.4,-0.2,2
2.1,-0.1,2
0.3,-0.1,2
2.7,-0.9,2
5.4,0,2
3.2,-0.8,2
8.6,-0.3,2
1.1,-0.2,2
3.9,-0.1,2
2.3,0,2
3.1,-0.2,2
0.7,-0.3,2
10.3,-0.5,2
2.7,-0.1,2
3.2,-0.5,2
4.4,-0.2,2
3,-0.2,2
1.3,-0.3,2
0.5,-0.5,2
8.1,-0.1,2
10.9,-0.3,2
5,-0.1,2
13.9,-0.2,2
3.9,0,2
4.1,-0.2,2
5.7,-0.2,2
1.2,-0.4,2
5.3,-0.2,2
6.9,-0.2,2
0.3,0,2
3.7,-0.3,2
1.8,-0.5,2
3.3,-0.2,2
1.4,-0.3,2
1.5,0,2
2.2,-0.5,2
2.6,-0.3,2
0.5,0,2
2.1,-0.2,2
2.9,0.1,2
7.4,-0.4,2
5.6,-0.5,2
1.7,-0.2,2
7.8,-0.1,2
2.7,-0.5,2
1.9,0.2,2
1.2,-0.6,2
2.5,-0.6,2
1.2,-0.1,2
0,0,2
1.4,-0.7,2
3.5,0.7,2
6,-0.2,2
0.7,-0.7,2
3,0,2
1.7,-0.5,2
4.3,-0.1,2
2.7,-0.5,2
7.7,0.1,2
12.7,-0.1,2
3.1,-0.1,2
0.9,-0.9,2
2.5,-0.2,2
0.9,-0.1,2
3.7,0,2
1.1,-0.3,2
1.2,-0.3,2
2.9,-0.3,2
9.1,-0.1,2
2.5,-0.2,2
4.4,-0.2,2
2.3,-0.5,2
1.9,-0.6,2
1,-0.2,2
2.4,-0.2,2
0.8,-0.2,2
1.1,-0.5,2
4,-0.1,2
2.5,-0.5,2
1.2,-0.2,2
2.4,-0.3,2
1.9,-0.1,2
1.7,-0.4,2
0.5,-0.2,2
5.1,-0.5,2
1.8,-0.9,2
3.2,-0.3,2
5.7,-0.2,2
2.5,-0.6,2
1.6,-0.2,2
3.8,-0.4,2
1.7,-0.8,2
2.6,-0.5,2
0.8,-0.2,2
3.3,0,2
1.6,-0.8,2
0.5,-0.1,2
1,-0.3,2
0.4,-0.4,2
3.2,-0.6,2
2,-0.5,2
1.6,-0.3,2
0.4,-0.4,2
2.9,0,2
2.6,-0.4,2
2.6,-0.2,2
2.2,-0.4,2
3.8,-0.1,2
1.2,-0.6,2
1.8,-0.9,2
2.3,0,2
3.3,0,2
1.4,-0.4,2
2.7,-0.5,2
3.4,-0.2,2
1.5,-0.3,2
1.3,0.2,2
8.2,-0.5,2
1,-0.3,2
2.3,0.1,2
5.4,-0.4,2
9.9,-0.2,2
2.5,-0.4,2
14.6,-0.3,2
1.8,-0.6,2
0.8,0.2,2
0.9,0,2
1.4,0,2
2.9,-0.2,2
1.2,-0.4,2
1.7,-0.5,2
2.6,0,2
8.7,0,2
14.9,-0.1,2
7,-0.1,2
3.3,-0.6,2
5.5,0,2
0.9,-0.1,2
9.5,-0.1,2
2.6,-0.6,2
3.9,-0.3,2
2.7,-0.2,2
2.8,-0.3,2
1.6,-0.8,2
16.2,-0.2,2
3.5,0,2
3.2,0,2
0.6,0,2
3.2,-0.3,2
1.7,-0.5,2
2.8,-0.2,2
4.4,-0.8,2
1.9,-0.4,2
13.4,0,2
1.4,-0.2,2
0.7,-0.3,2
1.8,-0.3,2
2.2,-0.5,2
1.9,0.2,2
3.8,-0.7,2
1.3,-0.2,2
1.9,0.3,2
2.9,-0.3,2
0.7,0.2,2
1.5,-0.3,2
1.3,-0.2,2
1.3,-0.4,2
1.1,-0.3,2
0.9,-0.4,2
2.2,0.1,2
5.4,-0.1,2
8.3,0.1,2
6.4,-0.5,2
1.5,-0.7,2
4.3,0,2
0.6,-0.6,2
29.2,-0.1,2
2.7,0,2
1.5,-0.7,2
0.5,-0.5,2
2,-0.2,2
3.1,-0.7,2
2.3,-0.7,2
1.6,-0.8,2
1.7,-0.8,2
1.1,-0.5,2
0.9,0.2,2
11.4,-0.4,2
0.7,0,2
3.8,-0.4,2
3.7,-0.6,2
2.6,-0.6,2
0.8,0,2
1.2,-0.1,2
1.1,-0.5,2
4.6,0,2
4.8,0,2
4.2,-0.6,2
2.3,-0.3,2
0.8,-0.8,2
5.5,-0.5,2
2.7,-0.6,2
2.5,0,2
1.2,-0.3,2
3.2,-0.2,2
3,-0.4,2
12.2,0,2
6.9,-0.2,2
2,-0.6,2
0.8,-0.4,2
2.8,-0.2,2
1.5,-0.3,2
1.5,-0.3,2
4.8,-0.2,2
4.9,-0.4,2
1.1,-0.5,2
1.7,0,2
2.5,-0.6,2
3.5,-0.1,2
3,-0.3,2
4.2,-0.1,2
3.9,-0.4,2
0,0,2
2.3,-0.4,2
2.9,0,2
3.1,-0.1,2
3.6,0,2
2.4,-0.2,2
1.2,0,2
3,-0.2,2
5.3,0.1,2
1.7,0.2,2
11.2,-0.5,2
4.6,-0.1,2
0.6,-0.3,2
1.5,-0.7,2
9,-0.3,2
1.3,0,2
47.5,-0.1,2
19.2,-0.2,2
6.3,0,2
5.1,0.1,2
5.5,-0.4,2
2.2,0,2
9.5,-0.4,2
2.3,-0.7,2
0.5,0,2
1,-0.5,2
7.6,0.1,2
1.4,-0.4,2
5.1,-0.2,2
2.5,-0.4,2
3.1,-0.4,2
1,0,2
3.4,-0.3,2
2.3,-0.2,2
4.8,-0.1,2
1.2,-0.4,2
1.2,-0.6,2
12,-0.1,2
2.1,-0.5,2
2.6,-0.5,2
6.9,-0.3,2
6.8,-0.5,2
10.7,-0.3,2
3.1,-0.7,2
1.8,0,2
1,-0.5,2
16.1,0,2
5.6,0,2
0.2,-0.2,2
7.3,-0.2,2
5.7,0.1,2
7,-0.1,2
0.9,-0.1,2
1.5,0,2
0.9,-0.9,2
0.8,0.8,2
4.2,-0.1,2
7.2,-0.3,2
8,-0.2,2
0,0,2
1.6,-0.1,2
1.8,0,2
0.4,-0.4,2
5.2,-0.3,2
4,0.5,2
9.6,0,2
9,-0.1,2
2.9,-0.3,2
7.1,-0.2,2
0.5,-0.5,2
2,0,2
0.9,-0.3,2
10.4,-0.3,2
1.9,-0.4,2
9,-0.1,2
3.7,-0.3,2
1,-0.5,2
2.1,0.2,2
3.4,0,2
16,-0.1,2
4.8,0,2
5.5,-0.4,2
1.8,-0.2,2
1.3,-0.3,2
1.8,-0.6,2
1.8,-0.9,2
2,-0.5,2
13.2,0,2
2.9,0,2
2.4,-0.4,2
1.1,-0.1,2
2.1,-0.7,2
1.1,-0.2,2
1,-0.5,2
1.5,-0.3,2
2.7,0,2
1.6,0.4,2
1.5,-0.5,2
0.9,0.4,2
1.4,-0.7,2
1.6,-0.1,2
0.7,-0.3,2
1.6,-0.5,2
1.8,-0.3,2
1.5,0,2
0.4,0,2
2.3,-0.2,2
4.7,-0.3,2
0.7,-0.2,2
2,0,2
2.5,-0.3,2
2,0,2
2.9,-0.2,2
24,-0.1,2
9.5,0.1,2
1.9,0.1,2
0.9,-0.4,2
0.8,-0.2,2
6,-0.1,2
3.3,0,2
1,-0.3,2
1.9,-0.4,2
3.5,-0.2,2
0.1,0,2
1.6,-0.4,2
5.3,0,2
4.2,0,2
5.8,0,2
3.2,-0.6,2
2.4,-0.2,2
2.2,-0.1,2
2.3,-0.2,2
3.5,-0.4,2
3.7,-0.5,2
3.2,-0.4,2
17,0,2
0.8,-0.1,2
2,-0.5,2
8.3,0,2
12.5,0.3,2
5.8,-0.3,2
7.6,-0.3,2
1.2,0.1,2
5.8,0,2
5.6,0,2
0.7,0,2
3.2,0.1,2
0.3,-0.3,2
6.7,0,2
5.9,-0.1,2
19,0,2
5.4,-0.2,2
11.3,-0.1,2
9,-0.1,2
11.7,-0.2,2
16.4,-0.2,2
2.4,-0.2,2
1.8,0.1,2
3,-0.3,2
2.3,-0.3,2
2.9,0,2
2.9,-0.5,2
6.2,0,2
2.7,0,2
3.4,-0.2,2
4,0,2
3.3,-0.3,2
5.6,0.1,2
2.5,0.3,2
3.7,0,2
0.9,-0.9,2
4.3,-0.5,2
1.3,0,2
2.6,-0.8,2
1.4,0,2
4.7,-0.5,2
3.4,-0.3,2
3.4,-0.6,2
1.9,-0.3,2
1.1,-0.1,2
1.4,-0.7,2
1.4,0,2
4.6,-0.2,2
6.7,0,2
3.1,-0.4,2
1.4,0,2
0.6,-0.6,2
5.8,-0.2,2
1.4,-0.2,2
1,0.3,2
1,-0.3,2
0.6,-0.3,2
0.9,-0.9,2
0.8,-0.4,2
1.7,-0.8,2
1.9,-0.2,2
17.3,-0.4,2
5,-0.3,2
3.1,-0.4,2
1.3,-0.4,2
3.5,-0.3,2
11.8,-0.1,2
2,0.3,2
6.2,-0.2,2
3,0.7,2
3.2,0.1,2
1.4,-0.2,2
1.4,0,2
1.5,-0.3,2
2.6,-0.4,2
2.7,-0.5,2
1.2,-0.6,2
3.6,-0.9,2
1.6,-0.5,2
1.5,-0.1,2
1.1,-0.5,2
0.9,-0.2,2
0.3,-0.1,2
6.3,-0.1,2
0.9,-0.4,2
1.1,0,2
2.6,0.3,2
1.9,0,2
1.3,-0.3,2
3.5,-0.3,2
18.4,-0.3,2
6.1,-0.2,2
0.9,-0.9,2
2.6,-0.3,2
1.1,-0.5,2
4.5,-0.2,2
1.4,-0.7,2
1.6,0.1,2
1.6,-0.5,2
0.9,-0.9,2
1.2,-0.3,2
1,-0.3,2
1.5,-0.5,2
1.8,-0.4,2
0.7,-0.7,2
1.8,-0.3,2
1.7,-0.1,2
1.7,0.1,2
1.2,0.6,2
1.4,-0.4,2
1.5,-0.1,2
0.6,-0.2,2
1.2,0.2,2
3,-0.7,2
3.2,0,2
2.2,-0.7,2
2.1,-0.4,2
2.1,0.1,2
0.2,0.2,2
0.8,-0.2,2
2.8,-0.5,2
1.3,0.1,2
0.7,-0.7,2
1,-0.3,2
0.3,0.1,2
1.9,0,2
5.6,0,2
7.1,-0.2,2
4.1,-0.5,2
0.6,-0.6,2
1.9,0,2
0.7,0.2,2
3.3,-0.3,2
2.6,-0.1,2
3,0,2
0.8,0,2
1.8,-0.9,2
1.7,0,2
1.8,-0.1,2
3.8,-0.2,2
3.9,-0.7,2
0.7,0,2
5,-0.1,2
1.2,0,2
1.4,0.1,2
1.2,-0.1,2
1.3,-0.4,2
0.9,-0.4,2
2.3,-0.1,2
2.3,-0.2,2
2.1,0,2
0.5,-0.2,2
3.1,-0.5,2
5.2,0,2
1.9,-0.2,2
1.9,0.4,2
4.6,-0.6,2
1.9,-0.1,2
5.3,-0.2,2
1,-0.5,2
1.5,0,2
1.4,0,2
2.2,0,2
1.8,-0.4,2
3.9,0,2
2.4,-0.4,2
3.2,-0.4,2
17.4,-0.1,2
6,-0.5,2
4.5,-0.3,2
0.7,-0.3,2
4.2,-0.4,2
6.6,0,2
0.7,0,2
4.1,-0.5,2
5.4,-0.6,2
3.1,-0.5,2
8.1,-0.4,2
1.5,-0.2,2
3.3,-0.6,2
1.4,0,2
0.6,-0.3,2
0.8,-0.4,2
3.2,-0.8,2
1.9,-0.2,2
2.5,-0.1,2
2.2,-0.2,2
1.7,0.2,2
0.7,0.7,2
3.7,-0.2,2
1,-0.3,2
5.5,-0.2,2
8.8,0,2
4.3,-0.6,2
4.3,-0.1,2
6.4,-0.3,2
1.4,0.1,2
5.6,0.1,2
1.8,-0.5,2
1.8,0,2
3.8,-0.3,2
7.6,-0.2,2
0.3,-0.1,2
0.8,-0.2,2
3,0,2
3.9,-0.3,2
3.7,-0.3,2
1.4,-0.4,2
0.9,-0.9,2
0.8,0.1,2
1.3,-0.6,2
1.9,-0.4,2
2,-0.4,2
0.8,-0.1,2
1.1,-0.3,2
1.2,-0.6,2
0.3,-0.1,2
1,-0.1,2
3.2,-0.2,2
6.7,-0.3,2
0.9,0,2
1,-0.2,2
1,0.1,2
1,-0.2,2
5.4,-0.1,2
1.3,-0.6,2
4.5,-0.3,2
9,-0.2,2
0.9,-0.2,2
2,-0.5,2
1.6,0,2
1.1,-0.5,2
1.1,-0.5,2
1.1,-0.3,2
1.9,-0.1,2
4.8,-0.5,2
0.5,0,2
0.8,-0.4,2
0.5,0,2
20.8,0,2
2.8,-0.5,2
1,0.1,2
3.9,-0.1,2
1,-0.5,2
11.6,-0.5,2
0.9,-0.3,2
4.3,-0.2,2
2.9,0,2
2.7,-0.9,2
3,-0.6,2
2.5,-0.2,2
1.8,-0.1,2
2,0,2
1.5,-0.7,2
1.2,-0.6,2
4.7,-0.2,2
2.7,-0.3,2
2.5,0,2
0.9,-0.9,2
0.8,-0.4,2
0.4,-0.4,2
0.8,-0.3,2
0.6,-0.3,2
0,0,2
4,-0.5,2
0.8,0,2
8.8,-0.1,2
3.8,-0.5,2
5.9,-0.4,2
0.7,0.3,2
4.5,-0.1,2
1.6,-0.1,2
1.1,-0.2,2
0.1,0,2
3.2,-0.3,2
3.8,-0.4,2
2.6,-0.1,2
2.4,-0.4,2
3.7,0.1,2
1.1,-0.3,2
1.9,0.2,2
1.9,0.3,2
1.4,-0.4,2
2.6,-0.5,2
2.6,-0.3,2
1,-0.3,2
1.1,-0.5,2
1.4,0.1,2
13,-0.2,2
5.6,-0.2,2
0.9,-0.3,2
0.9,-0.2,2
1.2,-0.2,2
11.1,-0.2,2
0.7,-0.3,2
0.7,-0.7,2
3.6,0.1,2
2.3,-0.1,2
